Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Male,490,,490,, ,137,131,136,58,28, ,61,109,129,105,86, ,102,187,140,51,10, ,44,138,185,86,37, ,9,75,5,117,30,19,23,36,15,14,90,10,13,6,51,56,19,12,88,17,0, ,141,39,26,32,26,15,47,69,64,23,8, ,217,167,103,112,97,77,138,143,148,80,7, ,0,0,490
,49%,,100%,, ,49%,47%,49%,51%,53%, ,47%,48%,49%,50%,49%, ,40%,49%,54%,59%,59%, ,54%,51%,45%,48%,65%, ,75%,71%,21%,38%,53%,36%,52%,39%,56%,50%,34%,91%,25%,33%,81%,53%,34%,75%,75%,45%,0%, ,53%,62%,53%,71%,42%,83%,44%,37%,44%,50%,73%, ,46%,55%,48%,52%,46%,73%,45%,40%,47%,43%,70%, ,0%,0%,67%
Female,512,,,512, ,144,145,143,55,25, ,68,116,132,106,90, ,151,197,121,36,7, ,38,131,228,94,20, ,3,30,19,189,27,34,21,57,12,14,177,1,40,12,12,50,37,4,29,21,0, ,127,24,23,13,36,3,59,119,82,23,3, ,257,137,111,104,112,29,170,215,169,106,3, ,184,144,236
,51%,,,100%, ,51%,53%,51%,49%,47%, ,53%,52%,51%,50%,51%, ,60%,51%,46%,41%,41%, ,46%,49%,55%,52%,35%, ,25%,29%,79%,62%,47%,64%,48%,61%,44%,50%,66%,9%,75%,67%,19%,47%,66%,25%,25%,55%,0%, ,47%,38%,47%,29%,58%,17%,56%,63%,56%,50%,27%, ,54%,45%,52%,48%,54%,27%,55%,60%,53%,57%,30%, ,100%,100%,33%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Dublin,281,,137,144, ,281,,,,, ,36,64,73,59,49, ,63,116,77,19,6, ,19,71,132,40,18, ,4,28,15,93,14,11,17,24,9,13,72,0,10,3,19,28,11,1,39,7,0, ,64,22,13,19,16,5,26,51,49,13,3, ,139,75,60,78,57,25,66,110,96,57,4, ,52,144,137
,28%,,28%,28%, ,100%,,,,, ,28%,28%,28%,28%,28%, ,25%,30%,30%,22%,35%, ,23%,26%,32%,22%,32%, ,33%,27%,63%,30%,25%,21%,39%,26%,33%,46%,27%,0%,19%,17%,30%,26%,20%,6%,33%,18%,0%, ,24%,35%,27%,42%,26%,28%,25%,27%,34%,28%,27%, ,29%,25%,28%,36%,27%,24%,21%,31%,30%,31%,40%, ,28%,100%,19%
Leinster,276,,131,145, ,,276,,,, ,33,62,74,59,48, ,78,99,75,23,1, ,24,84,96,57,15, ,3,30,8,86,15,17,7,19,9,6,68,4,15,7,18,28,20,6,26,16,0, ,76,10,17,13,13,4,29,54,40,17,3, ,119,76,58,48,51,27,96,92,81,50,3, ,52,0,224
,28%,,27%,28%, ,,100%,,,, ,26%,28%,28%,28%,27%, ,31%,26%,29%,26%,6%, ,29%,31%,23%,32%,26%, ,25%,29%,33%,28%,26%,32%,16%,20%,33%,21%,25%,36%,28%,39%,29%,26%,36%,38%,22%,42%,0%, ,28%,16%,35%,29%,21%,22%,27%,29%,27%,37%,27%, ,25%,25%,27%,22%,24%,25%,31%,26%,26%,27%,30%, ,28%,0%,31%
Munster,279,,136,143, ,,,279,,, ,37,63,71,59,49, ,65,97,82,27,8, ,20,69,117,60,13, ,4,32,0,84,20,17,10,41,3,5,87,4,16,6,17,27,10,5,39,6,0, ,80,20,12,9,20,5,29,54,37,9,4, ,143,94,69,57,64,30,90,92,95,43,1, ,52,0,227
,28%,,28%,28%, ,,,100%,,, ,29%,28%,27%,28%,28%, ,26%,25%,31%,31%,47%, ,24%,26%,28%,33%,23%, ,33%,30%,0%,27%,35%,32%,23%,44%,11%,18%,33%,36%,30%,33%,27%,25%,18%,31%,33%,16%,0%, ,30%,32%,24%,20%,32%,28%,27%,29%,25%,20%,36%, ,30%,31%,32%,26%,31%,28%,29%,26%,30%,23%,10%, ,28%,0%,31%
Connacht,113,,58,55, ,,,,113,, ,16,26,29,22,20, ,32,47,20,12,2, ,12,27,50,15,9, ,0,8,1,32,5,7,7,8,4,2,19,3,8,1,4,17,11,3,11,7,0, ,34,11,4,3,7,3,17,19,10,4,1, ,50,42,21,22,25,16,38,42,27,28,1, ,21,0,92
,11%,,12%,11%, ,,,,100%,, ,12%,12%,11%,10%,11%, ,13%,12%,8%,14%,12%, ,15%,10%,12%,8%,16%, ,0%,8%,4%,10%,9%,13%,16%,9%,15%,7%,7%,27%,15%,6%,6%,16%,20%,19%,9%,18%,0%, ,13%,17%,8%,7%,11%,17%,16%,10%,7%,9%,9%, ,11%,14%,10%,10%,12%,15%,12%,12%,9%,15%,10%, ,11%,0%,13%
Ulster (ROI Only),53,,28,25, ,,,,,53, ,7,10,14,12,10, ,15,25,7,6,0, ,7,18,18,8,2, ,1,7,0,11,3,1,3,1,2,2,21,0,4,1,5,6,4,1,2,2,0, ,14,0,3,1,6,1,5,10,10,3,0, ,23,17,6,11,12,8,18,22,18,8,1, ,7,0,46
,5%,,6%,5%, ,,,,,100%, ,5%,4%,5%,6%,6%, ,6%,7%,3%,7%,0%, ,9%,7%,4%,4%,4%, ,8%,7%,0%,4%,5%,2%,7%,1%,7%,7%,8%,0%,8%,6%,8%,6%,7%,6%,2%,5%,0%, ,5%,0%,6%,2%,10%,6%,5%,5%,7%,7%,0%, ,5%,6%,3%,5%,6%,8%,6%,6%,6%,4%,10%, ,4%,0%,6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
